release_speed;player_name;events;description;des;stand;p_throws;type;pitch_name;bat_speed;bat_win_exp;balls;strikes;outs_when_up;inning;inning_topbot;effective_speed;release_spin_rate
92;Weaver, Luke;;ball;Enrique Hernandez walks.;R;R;B;Cutter;;0.843;0;0;1;9;Top;91.4;2423
95.4;Weaver, Luke;field_out;hit_into_play;Max Muncy flies out sharply to right fielder Juan Soto.;L;R;X;4-Seam Fastball;73.1;0.865;0;0;0;9;Top;93.5;2457
95.3;Weaver, Luke;single;hit_into_play;Teoscar Hernandez singles on a ground ball to left fielder Alex Verdugo.;R;R;X;4-Seam Fastball;73.5;0.842;0;2;0;9;Top;94;2410
92;Weaver, Luke;;swinging_strike;Teoscar Hernandez singles on a ground ball to left fielder Alex Verdugo.;R;R;S;Cutter;70.3;0.842;0;1;0;9;Top;91;2497
95.1;Weaver, Luke;;called_strike;Teoscar Hernandez singles on a ground ball to left fielder Alex Verdugo.;R;R;S;4-Seam Fastball;;0.842;0;0;0;9;Top;93.8;2462
85.5;Treinen, Blake;strikeout;swinging_strike;Anthony Rizzo strikes out swinging.;L;R;S;Sweeper;68.9;0.28;1;2;2;8;Bot;84.2;2783
97.6;Treinen, Blake;;ball;Anthony Rizzo strikes out swinging.;L;R;B;4-Seam Fastball;;0.28;0;2;2;8;Bot;96.8;2514
96.9;Treinen, Blake;;swinging_strike;Anthony Rizzo strikes out swinging.;L;R;S;4-Seam Fastball;61.9;0.28;0;1;2;8;Bot;96.1;2536
85.7;Treinen, Blake;;called_strike;Anthony Rizzo strikes out swinging.;L;R;S;Sweeper;;0.28;0;0;2;8;Bot;84.2;2603
95.3;Treinen, Blake;field_out;hit_into_play;Giancarlo Stanton flies out to right fielder Mookie Betts.;R;R;X;Sinker;86.6;0.396;0;0;1;8;Bot;93.8;2355
91.9;Treinen, Blake;walk;ball;Jazz Chisholm Jr. walks.;L;R;B;Cutter;;0.355;3;1;1;8;Bot;91.1;2644
84.8;Treinen, Blake;;called_strike;Jazz Chisholm Jr. walks.;L;R;S;Sweeper;;0.355;3;0;1;8;Bot;83.4;2660
83.1;Treinen, Blake;;ball;Jazz Chisholm Jr. walks.;L;R;B;Sweeper;;0.355;2;0;1;8;Bot;81.8;2509
84.7;Treinen, Blake;;ball;Jazz Chisholm Jr. walks.;L;R;B;Sweeper;;0.355;1;0;1;8;Bot;83.5;2666
86.9;Treinen, Blake;;ball;Jazz Chisholm Jr. walks.;L;R;B;Sweeper;;0.355;0;0;1;8;Bot;85.9;2638
85.7;Treinen, Blake;double;hit_into_play;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;X;Sweeper;75.6;0.235;3;2;1;8;Bot;84.1;2643
97.2;Treinen, Blake;;foul;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;S;Sinker;70.2;0.235;3;2;1;8;Bot;95.8;2546
87.3;Treinen, Blake;;ball;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;B;Sweeper;;0.235;2;2;1;8;Bot;85.9;2693
85.4;Treinen, Blake;;foul;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;S;Sweeper;79.9;0.235;2;1;1;8;Bot;84.1;2596
84.8;Treinen, Blake;;called_strike;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;S;Sweeper;;0.235;2;0;1;8;Bot;83.6;2668
96.3;Treinen, Blake;;ball;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;B;Sinker;;0.235;1;0;1;8;Bot;95.2;2374
85.8;Treinen, Blake;;ball;Aaron Judge doubles (2) on a sharp line drive to left fielder Teoscar Hernandez.;R;R;B;Sweeper;;0.235;0;0;1;8;Bot;84.8;2588
85.9;Treinen, Blake;field_out;hit_into_play;Juan Soto grounds out, first baseman Freddie Freeman to pitcher Blake Treinen.;L;R;X;Sweeper;76.5;0.297;1;2;0;8;Bot;84.5;2394
85.2;Treinen, Blake;;ball;Juan Soto grounds out, first baseman Freddie Freeman to pitcher Blake Treinen.;L;R;B;Sweeper;;0.297;0;2;0;8;Bot;84.2;2442
85.3;Treinen, Blake;;foul;Juan Soto grounds out, first baseman Freddie Freeman to pitcher Blake Treinen.;L;R;S;Sweeper;80.3;0.297;0;1;0;8;Bot;83.5;2686
95.9;Treinen, Blake;;called_strike;Juan Soto grounds out, first baseman Freddie Freeman to pitcher Blake Treinen.;L;R;S;Sinker;;0.297;0;0;0;8;Bot;94.1;2256
89.1;Weaver, Luke;strikeout;swinging_strike;Freddie Freeman strikes out swinging.;L;R;S;Changeup;63.9;0.753;2;2;2;8;Top;88.5;1821
94.9;Weaver, Luke;;foul;Freddie Freeman strikes out swinging.;L;R;S;4-Seam Fastball;66.5;0.753;2;1;2;8;Top;94.2;2520
96.1;Weaver, Luke;;foul;Freddie Freeman strikes out swinging.;L;R;S;4-Seam Fastball;70.7;0.753;2;0;2;8;Top;94.6;2576
89.5;Weaver, Luke;;blocked_ball;Freddie Freeman strikes out swinging.;L;R;B;Changeup;;0.753;1;0;2;8;Top;88.7;1829
95.1;Weaver, Luke;;ball;Freddie Freeman strikes out swinging.;L;R;B;4-Seam Fastball;;0.753;0;0;2;8;Top;93.8;2497
96.3;Weaver, Luke;sac_fly;hit_into_play;Mookie Betts out on a sacrifice fly to center fielder Aaron Judge. Tommy Edman scores. Will Smith to 3rd.;R;R;X;4-Seam Fastball;67.9;0.68;0;0;1;8;Top;95.3;2568
89.7;Weaver, Luke;catcher_interf;foul;Yankees challenged (catcher interference), call on the field was upheld: Shohei Ohtani reaches on catcher interference by Austin Wells. Will Smith to 2nd. Shohei Ohtani to 1st.;L;R;S;Changeup;74.6;0.641;0;0;1;8;Top;89.1;1875
95.3;Weaver, Luke;sac_fly;hit_into_play;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;X;4-Seam Fastball;72.7;0.622;3;2;0;8;Top;94.3;2515
96.7;Weaver, Luke;;ball;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;B;4-Seam Fastball;;0.622;2;2;0;8;Top;95.4;2562
96.7;Weaver, Luke;;swinging_strike;Gavin Lux out on a sacrifice fly to center fielder Aaron Judge. Enrique Hernandez scores. Tommy Edman to 3rd.;L;R;S;4-Seam Fastball;46.3;0.622;2;1;0;8;Top;95.3;2604
